words,808s & Heartbreak,Graduation,JESUS IS KING,Late Registration,My Beautiful Dark Twisted Fantasy,The College Dropout,The Life of Pablo,Yeezus,ye
dennys,0,0,0,0,0,0,1,0,0
denver,0,0,0,0,0,1,0,0,0
deny,0,0,0,0,0,1,0,0,0
department,0,1,0,0,0,0,0,0,0
depending,0,1,0,0,0,0,0,0,0
depends,0,0,0,2,0,0,0,0,0
deposit,0,1,0,0,0,0,0,0,0
depressing,0,0,0,0,0,1,0,0,0
deprived,0,0,0,1,0,0,0,0,0
deray,0,0,0,0,0,3,0,0,0
descendant,0,0,2,0,0,0,0,0,0
desert,0,0,0,2,0,1,0,0,0
deserve,0,0,2,1,0,2,1,0,0
deserves,1,0,0,0,0,1,0,0,0
deservesword,0,1,0,0,0,0,0,0,0
design,0,0,0,0,0,0,1,0,0
designer,0,0,0,0,1,0,1,0,0
desiigner,0,0,0,0,0,0,2,0,0
desk,0,0,0,0,0,1,0,0,0
despised,0,0,0,1,0,0,0,0,0
dessert,0,0,0,0,0,2,0,0,0
destination,1,0,0,0,0,0,0,0,0
destiny,0,1,0,0,0,0,0,0,0
destroy,0,0,0,0,0,0,0,1,0
detail,0,0,0,0,1,0,0,0,0
detective,0,0,0,0,0,1,0,0,0
determination,0,0,0,0,0,1,0,0,0
detox,0,0,0,1,0,0,0,0,0
detroit,0,1,0,0,0,0,0,0,0
devil,0,1,4,1,5,1,2,0,2
devised,0,0,0,1,0,0,0,0,0
devo,0,0,0,2,0,0,0,0,0
devoted,0,0,0,0,0,0,0,1,0
diablo,0,0,0,0,1,0,0,0,0
dial,0,0,0,0,1,0,0,0,0
diamond,0,1,0,3,0,4,0,2,0
diamondencrusted,0,0,0,0,1,0,0,0,0
dice,0,0,0,0,1,0,0,0,0
diceroller,0,0,0,0,1,0,0,0,0
dick,0,0,0,0,4,4,6,3,0
dickll,0,0,0,0,0,0,1,0,0
diction,0,0,0,1,0,0,0,0,0
diddy,0,0,0,0,0,0,1,0,0
die,1,1,2,2,2,5,5,1,1
died,0,1,2,1,0,2,1,1,2
diet,0,0,0,0,1,0,0,0,0
difference,0,0,0,0,0,1,0,0,0
difficult,0,1,0,1,0,0,0,0,0
dig,0,0,0,1,0,0,1,0,0
digger,0,0,0,1,0,0,0,0,0
digging,0,0,0,0,1,0,0,0,0
digital,0,0,0,0,0,1,0,0,0
dilla,0,0,0,0,0,0,1,0,0
dime,0,0,0,0,0,1,1,0,0
dimepieces,0,0,0,1,0,0,0,0,0
din,0,0,0,1,0,0,0,1,0
dinner,0,0,0,0,0,0,1,0,0
dion,0,0,0,0,1,0,1,0,0
dior,0,2,0,0,1,0,0,0,0
dippin,0,0,0,0,0,1,0,0,0
directed,0,0,0,0,2,0,0,1,0
direction,0,0,0,0,1,0,1,0,0
director,0,0,0,0,1,0,0,0,0
dirt,0,0,0,0,1,1,2,0,1
dirty,0,0,0,0,1,0,2,0,0
dis,0,0,0,1,0,0,0,0,0
disability,0,0,0,0,0,0,0,0,1
disagree,1,0,0,0,0,0,0,0,0
disappoints,0,0,0,0,1,0,0,0,0
disc,0,0,0,0,0,1,0,0,0
disco,0,0,0,1,0,0,0,0,0
disconnect,0,0,0,0,0,0,1,0,0
discussion,0,0,0,0,0,0,1,0,0
disguise,0,0,0,1,0,0,0,0,0
disguising,0,0,0,0,1,0,0,0,0
disgusting,0,0,0,0,1,0,0,0,0
dish,0,0,0,1,1,0,0,0,0
dismiss,0,0,0,0,2,0,0,0,0
disown,0,0,0,0,0,0,0,1,0
disrespect,0,0,0,0,0,1,0,1,0
disrespectful,0,0,0,0,0,0,1,0,0
disrespecting,0,1,0,0,0,0,0,0,0
dissed,0,0,2,0,0,0,0,0,0
dissertation,0,1,0,0,0,0,0,0,0
dissing,0,0,0,0,0,1,0,0,0
distance,0,1,0,0,0,0,0,0,0
divide,0,0,2,0,0,0,1,0,0
divided,0,0,0,1,0,0,0,0,0
divin,0,0,0,0,1,0,0,0,0
divorced,0,0,0,0,1,0,1,0,0
dj,0,3,0,0,2,0,2,0,0
dleague,0,0,0,0,0,0,0,1,0
dmc,0,0,0,0,0,0,0,0,1
dmt,0,0,0,0,0,0,0,0,1
dmv,0,0,0,0,1,0,0,0,0
dmx,0,0,0,0,0,1,0,0,0
doa,0,0,0,0,0,0,0,0,1
doctor,0,0,0,2,0,1,0,0,0
doctorate,0,0,0,1,0,1,0,0,0
documented,0,0,0,0,0,1,0,0,0
dodger,0,0,0,0,0,0,1,0,0
dodgin,0,0,0,0,1,0,0,0,0
dodododododododododo,0,0,0,0,0,1,0,0,0
doe,0,0,0,2,0,1,0,0,0
doeuvres,0,1,0,0,0,0,0,0,0
dog,0,1,0,4,2,6,0,0,1
doin,0,1,2,1,1,3,1,3,1
doja,0,0,0,1,1,0,0,1,0
dolla,0,0,2,0,0,0,2,0,3
dollar,0,1,0,0,1,2,2,0,0
dom,0,0,0,0,0,0,0,1,0
dome,0,0,2,1,0,0,0,0,0
domestic,0,1,0,0,0,0,0,0,0
donald,0,0,0,0,1,0,0,0,0
donatella,0,1,0,0,0,0,0,0,0
donda,0,0,0,1,0,1,0,0,0
donor,0,0,0,0,0,0,0,1,0
dont,0,0,0,0,1,1,0,1,0
doo,0,0,0,0,0,1,0,0,0
doobie,0,0,0,1,0,0,0,0,0
dookied,0,0,0,1,0,0,0,0,0
doomed,0,0,0,0,0,1,0,0,0
door,1,4,2,4,0,0,1,2,1
dope,0,0,0,1,1,2,1,0,0
dopeman,0,0,0,1,0,0,0,0,0
dot,0,0,0,0,0,0,1,0,1
double,0,1,0,0,1,1,0,0,0
doubled,0,0,0,0,0,1,0,0,0
doubleheaded,0,0,0,0,1,0,0,0,0
doubletree,0,0,0,0,0,0,1,0,0
doubt,1,0,0,0,0,1,0,0,0
douchebags,0,0,0,0,1,0,0,0,0
doug,0,0,0,0,0,0,1,0,0
dough,1,2,0,1,0,1,0,0,0
douglas,0,0,0,0,0,0,0,1,0
download,0,0,0,0,1,0,0,0,0
downloaded,0,0,0,0,0,0,1,0,0
downtown,0,1,0,0,1,0,0,0,0
dozen,0,0,0,0,1,0,0,0,0
dr,1,0,0,0,0,0,0,0,0
drake,0,0,0,0,1,0,0,0,0
drama,1,3,0,1,0,0,0,0,0
dramall,0,0,0,0,0,0,0,0,1
dramatic,0,0,0,0,1,0,0,0,0
drank,0,0,2,0,0,0,0,0,1
draped,0,0,0,0,0,0,0,0,1
draw,0,0,2,0,1,0,0,0,0
drawer,0,0,0,1,1,1,0,0,0
drawn,0,0,0,0,0,0,1,0,0
dre,0,0,0,0,0,2,0,0,0
dread,0,0,0,1,0,0,0,0,0
dream,2,5,0,5,4,4,3,0,0
dreamed,0,1,0,0,1,0,1,0,0
dreamin,0,0,0,1,0,1,0,0,1
dress,0,2,0,0,1,1,0,1,1
dressed,0,1,0,1,0,0,0,0,1
dresser,0,0,0,0,1,0,0,0,0
dressin,0,0,0,0,0,0,1,0,0
drifit,0,0,0,0,0,0,0,0,1
drifted,0,0,0,0,0,0,1,0,0
drifting,0,0,0,0,1,0,0,0,0
drillin,0,0,0,0,0,0,0,1,0
drink,1,5,0,3,3,4,0,1,0
drinkin,0,0,0,0,1,0,1,0,0
drinking,0,1,0,0,0,0,0,0,0
drippin,0,0,0,0,0,0,0,0,1
drive,0,2,2,4,0,4,3,0,0
driver,0,0,0,0,0,1,0,1,0
drivethru,0,1,0,0,0,0,0,0,0
drivin,0,1,2,1,1,0,3,0,1
driving,0,1,0,0,0,0,1,0,0
drizzy,0,0,0,0,0,0,1,0,0
dro,0,0,0,1,1,1,0,0,0
drop,1,2,0,1,1,4,2,0,2
dropdrodrodrodrop,0,0,0,0,0,0,1,0,0
dropout,0,1,0,0,0,1,0,0,0
dropped,0,2,0,1,0,1,2,1,0
droptop,0,0,0,1,0,0,0,0,0
drove,0,1,0,1,0,2,1,0,0
drown,0,0,0,0,1,0,0,1,0
drug,0,0,0,4,4,4,0,0,0
drum,0,0,0,0,0,1,1,1,1
drunk,0,1,0,1,0,0,1,0,0
dry,0,0,2,0,1,0,0,0,1
du,0,0,0,0,1,0,0,0,0
duce,0,0,0,1,0,1,0,0,0
duct,0,1,0,0,0,0,0,0,0
dude,1,1,2,1,1,7,1,0,1
duhduh,0,0,0,0,0,0,1,0,0
duhduhduhduhduhduhduhduh,0,0,0,0,0,0,1,0,0
dumb,0,0,0,0,0,0,1,0,1
dummy,0,0,0,0,1,0,0,0,0
dunk,0,1,0,0,0,0,0,0,0
dunno,0,0,0,0,0,2,0,0,0
dust,0,0,0,1,0,0,0,0,0
dutch,0,0,0,0,1,0,0,0,0
dutty,0,0,0,0,1,0,0,1,0
dvd,0,0,0,0,0,0,0,0,1
dwayne,0,1,0,0,0,0,0,0,0
dwele,0,1,0,0,1,0,0,0,0
dwell,0,1,0,0,0,0,0,0,0
dwyane,0,1,0,0,0,0,0,0,0
dy,0,0,0,1,0,0,0,0,0
dyin,0,1,0,0,0,0,0,1,0
dying,0,0,0,0,1,0,0,0,0
dyke,0,2,0,1,0,0,0,0,0
dynasty,0,0,0,2,0,2,0,0,0
dyslexic,0,0,0,0,0,1,0,0,0
ear,0,0,0,1,0,1,0,1,0
earl,0,0,0,0,0,0,1,0,0
earlier,0,0,0,0,1,0,0,0,0
early,0,0,0,0,0,2,0,1,0
earth,0,0,0,0,0,1,1,0,0
ease,0,0,0,0,0,0,0,1,0
east,0,0,0,0,0,1,0,0,0
easter,0,1,0,0,0,0,0,0,0
eastern,0,0,0,0,1,0,0,0,0
easy,0,2,0,1,0,1,0,0,0
eat,0,1,0,2,2,3,0,0,0
eatin,0,0,0,0,1,1,0,1,0
eating,0,0,0,2,0,1,0,1,0
ebony,0,0,0,0,1,0,0,0,0
echelon,0,0,0,1,0,0,0,0,0
ecstasy,0,0,0,0,0,1,0,0,0
eddie,0,0,0,0,0,0,1,0,0
edge,0,0,0,0,1,0,0,0,0
edition,0,0,0,0,0,1,1,0,0
eema,0,0,0,0,0,0,1,0,0
effort,0,1,0,0,0,0,0,0,0
egg,0,0,0,0,0,0,1,0,0
ego,0,1,0,0,0,0,1,0,0
egotistic,0,0,0,0,1,0,0,0,0
egyszer,0,0,0,0,0,0,0,1,0
ei,0,0,0,0,0,0,1,0,0
eighteen,0,0,0,1,0,0,0,0,0
eighteenyearold,0,0,0,1,0,0,0,0,0
eighth,0,1,0,0,0,1,0,0,0
eightyseven,0,0,0,1,0,0,0,0,0
einstein,0,0,0,0,0,0,1,0,0
el,0,0,0,0,0,0,2,0,0
elaludt,0,0,0,0,0,0,0,1,0
elbow,0,0,0,1,0,1,0,0,0
election,0,0,0,0,0,0,1,0,0
elective,0,0,0,1,0,0,0,0,0
electra,0,0,0,0,0,0,1,0,0
electric,0,0,0,0,0,1,0,0,0
elfáradt,0,0,0,0,0,0,0,1,0
elite,0,0,0,0,1,0,0,0,0
eljött,0,0,0,0,0,0,0,1,0
ellamay,0,0,0,0,0,1,0,0,0
ellesses,0,0,0,1,0,0,0,0,0
elly,0,0,0,0,2,0,0,0,0
elon,0,0,0,0,0,0,1,0,0
elton,0,0,0,0,1,0,0,0,0
elvis,0,0,0,0,0,0,0,1,0
em,2,7,8,9,4,7,6,5,2
email,0,0,0,0,1,0,0,0,0
emailing,0,0,0,0,0,1,0,0,0
embarrassed,0,0,0,0,0,0,0,0,1
embarrassing,0,0,0,0,0,1,0,0,0
embereknek,0,0,0,0,0,0,0,1,0
embody,0,0,0,0,1,0,0,0,0
emcee,0,0,0,0,0,1,1,0,0
emergency,0,1,0,1,0,0,0,0,0
emile,0,0,0,0,1,0,0,0,0
emmett,0,0,0,0,0,1,0,0,0
emotion,0,1,0,1,0,0,0,0,0
emotional,0,0,0,0,1,0,0,0,0
empathy,0,0,0,0,1,0,0,0,1
emphasis,0,1,0,0,0,1,0,0,0
employee,0,0,0,0,0,0,1,0,0
empty,0,1,0,0,0,1,0,0,0
en,0,0,0,1,0,0,0,0,0
ended,0,0,0,0,0,1,0,0,0
endin,0,0,0,0,0,0,1,0,0
endowed,0,0,0,1,0,0,0,0,0
enemy,1,0,0,0,2,0,1,0,0
energy,0,0,0,0,1,0,2,0,1
engine,0,1,0,0,1,0,0,0,0
enjoy,0,0,2,0,0,0,0,0,1
enlightened,0,0,0,0,0,0,1,0,0
enlisted,0,0,0,0,1,0,0,0,0
enormous,0,0,0,0,0,0,0,0,1
ensure,0,0,0,0,0,1,0,0,0
enter,0,0,0,0,0,0,0,1,0
enterprise,0,0,0,1,0,0,0,0,0
entertainer,0,1,0,0,0,0,0,0,0
entrusted,0,0,0,0,1,0,0,0,0
entrylevel,0,0,0,0,0,1,0,0,0
envy,0,0,0,0,0,1,0,0,0
ephesian,0,0,2,0,0,0,0,0,0
episode,0,0,0,0,0,0,1,0,0
equate,0,0,0,0,0,0,1,0,0
equates,0,0,0,0,1,0,0,0,0
equinox,0,0,0,0,0,0,1,0,0
equipment,0,0,0,0,0,1,0,0,0
era,0,0,0,0,0,0,0,1,0
erase,0,0,0,1,0,0,0,0,0
erased,0,0,0,0,1,0,0,0,0
erection,0,0,0,0,0,0,1,0,0
eric,0,0,0,0,0,0,0,1,0
errr,0,0,0,0,0,1,0,0,0
erykah,0,0,0,0,0,0,1,0,0
escalade,0,0,0,1,0,0,0,0,0
escape,1,0,0,0,0,0,0,0,0
escort,0,0,0,1,0,0,0,0,0
eskimo,0,0,0,1,0,0,0,0,0
esophagus,0,0,0,0,1,0,0,0,0
español,0,1,0,0,0,0,0,0,0
essence,0,0,0,1,0,0,0,0,0
estate,0,0,0,0,0,0,1,0,0
eternal,0,0,2,0,0,0,0,0,0
eternity,0,0,0,0,1,0,0,0,0
etta,0,0,0,1,0,0,0,0,0
euphemism,0,0,0,0,1,0,0,0,0
euro,0,0,0,1,0,0,0,0,0
europe,0,0,0,1,0,0,0,0,0
eve,0,1,2,0,0,1,0,0,0
evelyn,0,0,0,0,0,1,0,0,0
evenin,0,0,0,0,0,0,0,1,0
evening,1,0,2,0,1,0,0,0,0
event,0,0,0,1,0,0,0,0,0
eventually,0,0,0,0,1,0,0,0,0
everglades,0,0,0,1,0,0,0,0,0
everybodys,0,1,0,0,0,0,0,0,0
everyday,0,0,0,1,0,0,0,0,0
everymotherfuckingbody,0,0,0,0,0,1,0,0,0
everythings,0,0,0,0,0,0,1,0,0
evian,0,0,0,0,0,0,0,1,0
evicted,0,0,0,0,0,1,0,0,0
evidence,0,0,0,1,0,1,0,0,0
evil,1,0,0,0,0,0,0,0,0
exact,0,0,0,0,1,0,0,0,0
excellence,0,0,0,0,1,0,0,0,0
excellent,0,0,2,0,0,0,0,0,0
excess,0,0,0,0,1,0,0,0,0
excitebike,0,0,2,0,0,0,0,0,0
excited,0,0,0,0,0,2,0,0,0
excitement,0,0,0,1,0,0,0,0,0
excitin,0,0,0,0,1,0,0,0,0
exclusive,0,0,0,0,0,0,1,0,0
excuse,0,3,0,1,0,1,0,0,0
executive,0,0,0,1,0,0,0,0,0
exhausted,1,0,0,0,0,0,0,0,0
exhibit,0,1,0,0,0,0,0,0,0
exotic,0,0,0,0,1,0,0,0,0
expect,0,0,0,0,0,1,0,0,0
expected,0,0,0,0,0,1,0,0,0
expedition,0,0,0,0,0,0,1,0,0
experience,0,0,0,0,0,1,1,0,0
expert,0,0,0,1,0,0,0,0,0
explain,0,1,0,1,0,0,0,0,0
explained,0,0,0,0,0,1,0,0,0
explore,0,0,0,1,0,0,0,0,0
export,0,0,0,0,1,0,0,0,0
expose,0,0,0,0,0,1,0,0,0
exposed,0,0,0,1,0,0,0,0,0
express,0,0,0,0,0,1,0,0,0
extend,0,0,0,0,0,0,1,0,0
extended,0,0,0,0,0,0,1,0,0
extinct,0,0,0,0,0,1,0,0,0
extra,0,1,0,1,2,1,2,1,0
extremely,0,0,0,0,0,0,0,0,1
ey,0,0,0,0,0,0,1,0,0
eye,1,4,0,8,5,4,3,2,0
eyelid,0,1,0,0,0,0,0,0,0
faaaaaaaa,0,0,0,0,0,0,1,0,0
fabric,0,0,0,0,0,0,1,0,0
facade,1,1,0,0,0,0,0,0,0
face,1,3,2,2,5,4,1,0,0
faced,0,0,0,0,0,1,0,0,0
faceless,0,0,0,0,1,0,0,0,0
facetime,0,0,0,0,0,0,1,0,0
facial,0,0,0,0,0,1,0,0,0
fact,0,1,0,1,0,1,0,0,1
factually,0,0,0,0,0,1,0,0,0
faculty,0,0,0,0,0,2,0,0,0
fad,0,0,0,0,0,0,0,1,0
fade,1,1,0,0,0,0,2,0,1
fadin,0,0,0,0,0,0,1,0,0
fail,0,0,0,0,0,2,1,0,0
faint,0,0,0,0,1,0,0,0,0
fair,1,1,0,0,0,1,0,0,0
fairer,0,0,0,0,0,0,0,1,0
fairy,1,0,0,0,0,0,0,0,0
faith,0,0,4,0,1,0,1,0,0
faithful,0,1,0,1,0,0,0,0,0
faithfulness,0,0,2,0,0,0,0,0,0
fake,0,1,0,1,1,0,1,0,0
fakeass,0,1,0,0,1,0,0,0,0
fall,0,2,2,1,2,2,2,2,0
fallen,0,0,2,0,0,0,0,0,0
fallin,0,1,0,1,1,0,0,0,1
falling,0,0,0,1,0,1,0,0,0
fallon,0,0,0,0,0,0,1,0,0
false,0,0,0,0,0,0,1,0,0
falter,0,0,0,1,0,0,0,0,0
fam,0,0,0,0,0,0,1,0,0
fame,1,1,0,2,0,1,1,0,0
familia,0,0,0,0,0,0,1,0,0
family,1,2,4,3,1,4,7,1,0
famous,0,0,0,1,0,1,4,0,0
fan,0,1,0,1,0,1,1,0,0
fancy,0,0,0,0,0,1,0,1,0
fang,0,0,0,0,1,0,0,0,0
fanta,0,0,0,0,0,0,1,0,0
fantasize,1,0,0,1,0,0,0,0,0
fantasized,0,0,0,0,1,0,0,0,0
fantastic,0,0,0,0,1,0,0,0,0
fare,1,0,0,0,0,0,0,0,0
farewell,1,0,0,0,0,0,0,0,0
farrakhan,0,0,0,0,0,0,1,0,0
fashion,0,0,0,0,0,1,1,0,0
fashionably,0,0,2,0,0,0,0,0,0
fast,1,0,0,2,3,8,1,1,0
faster,0,1,0,0,0,1,0,0,0
fastest,0,0,0,1,0,0,0,0,0
fat,0,0,0,1,2,1,0,0,0
fatal,0,0,0,0,0,1,0,0,0
fate,0,0,0,1,0,0,0,0,0
father,0,0,4,3,0,3,6,0,1
fathom,0,0,0,0,0,1,0,0,0
fattie,0,0,0,1,0,0,0,0,0
fault,1,0,0,0,2,1,1,0,0
favor,0,0,2,0,0,0,0,0,0
favorite,0,2,0,2,2,4,1,0,0
fear,0,0,0,2,0,0,0,0,0
feature,0,0,0,0,1,1,0,0,0
featured,0,0,0,0,0,1,0,0,0
february,0,0,0,0,0,0,0,1,0
fed,1,0,0,2,1,0,0,0,0
federico,0,0,0,0,0,0,1,0,0
fee,0,0,0,0,0,0,1,0,0
feed,0,0,0,1,1,0,0,0,0
feel,1,6,4,11,3,9,11,2,4
feelin,0,2,2,0,0,3,2,1,0
feeling,0,2,2,3,6,1,5,1,0
felicia,0,0,0,0,0,0,0,0,1
fell,0,0,0,1,1,0,0,0,1
felt,0,3,2,3,0,3,1,0,0
fema,0,1,0,0,0,0,0,0,0
female,0,0,0,0,1,1,0,0,1
fend,0,0,0,0,0,1,0,0,0
fentanyl,0,0,0,0,0,0,0,0,1
fergie,0,0,0,0,2,0,0,0,0
ferrari,0,1,0,0,1,0,0,0,0
ferraris,0,0,0,0,1,0,0,0,0
fiasco,0,0,0,1,0,0,0,0,0
fiction,0,0,0,0,1,0,0,0,0
field,0,1,0,0,1,0,2,0,0
fiend,0,0,0,2,1,1,0,0,0
fifteen,0,1,0,0,0,0,0,0,0
fifty,0,0,2,0,0,0,0,0,1
fight,2,1,6,1,0,1,2,3,1
fightin,0,0,0,1,0,0,0,0,0
fighting,0,0,0,0,1,1,0,0,0
figure,2,1,0,2,0,0,0,0,0
figured,1,1,0,0,0,2,0,0,0
figuring,0,0,0,0,0,1,0,0,0
fill,0,0,0,0,1,1,0,0,0
filled,0,0,2,1,1,1,0,0,0
filth,0,0,0,0,0,0,1,0,0
finally,2,0,0,1,0,2,0,0,0
find,2,1,2,2,2,3,2,1,2
findin,0,0,0,0,0,0,0,0,1
finding,0,0,0,0,1,0,0,0,0
fine,1,0,0,3,0,2,1,0,0
finest,0,0,0,1,0,0,0,0,0
finger,0,1,0,0,1,0,2,0,0
finish,1,0,0,0,1,2,0,0,0
finished,1,0,0,0,1,3,2,1,0
finna,0,0,2,2,1,2,1,1,1
fire,0,0,0,0,1,3,3,0,1
fired,1,0,0,1,1,0,1,0,0
firework,0,1,0,0,0,0,0,0,0
fish,0,0,0,0,1,0,0,0,0
fishstick,0,0,0,0,1,0,0,0,0
fist,0,0,0,0,0,0,0,1,0
fistfight,0,0,0,0,0,0,1,0,0
fit,0,0,0,0,0,3,1,0,0
fitted,0,0,0,0,1,0,0,0,0
fivestar,0,0,0,0,1,0,0,0,0
fixed,0,0,0,1,0,0,0,0,0
flacko,0,0,0,0,0,0,1,0,0
flag,0,0,2,0,0,0,0,0,0
flagrant,0,0,0,0,0,0,1,0,0
flame,0,0,0,0,0,0,1,1,0
flaring,0,1,0,0,0,0,0,0,0
flash,0,1,0,0,0,0,0,0,0
flashback,0,0,0,0,0,1,0,0,0
flashed,0,1,0,0,0,0,0,0,0
flashin,0,1,0,0,0,0,0,0,0
flashing,1,1,0,0,0,0,0,0,0
flashlight,0,0,0,0,1,0,0,0,0
flavor,0,0,0,0,0,0,1,0,0
flaw,0,0,0,0,1,0,0,0,0
flesh,0,0,0,0,0,0,2,0,0
fleshed,0,0,0,0,0,0,1,0,0
flew,0,0,0,0,0,0,1,0,0
flicking,0,0,0,2,0,1,0,0,0
flight,0,2,0,0,0,0,0,0,0
flip,0,0,0,2,0,0,1,0,0
flirtin,0,0,0,1,0,0,0,0,0
floatin,0,0,0,0,0,0,1,1,0
flock,0,0,0,1,0,0,0,0,0
flood,0,0,2,0,0,0,0,0,0
floooooow,0,0,0,1,0,0,0,0,0
floor,1,2,0,2,1,1,0,2,1
floorin,0,0,0,0,0,1,0,0,0
flop,0,0,0,0,0,1,0,0,0
florida,0,1,0,0,0,0,0,0,0
floss,0,1,0,0,0,2,0,0,0
flow,0,2,2,2,3,2,2,0,0
flower,0,1,0,1,0,0,0,0,0
flowin,0,0,0,0,0,0,1,0,0
flowsd,0,0,0,1,0,0,0,0,0
fly,3,4,0,2,3,4,4,0,0
flyest,0,0,0,0,0,0,1,0,0
flyin,0,0,0,1,0,0,0,0,0
fo,1,0,0,0,0,1,0,0,0
fockers,0,0,0,0,0,0,0,0,1
focus,0,1,0,0,1,0,0,1,1
focused,0,1,2,0,1,0,0,0,0
foley,0,0,0,0,1,0,0,0,0
folk,0,1,0,4,0,3,1,0,0
follow,0,1,2,0,0,3,2,1,0
follower,0,0,0,0,0,0,0,1,0
fonzworth,0,0,0,0,0,0,1,0,0
food,0,0,0,0,2,1,0,0,1
fool,0,0,2,1,1,2,1,0,0
foot,0,0,0,2,1,3,1,0,0
footstep,0,0,0,1,0,0,1,0,0
forbes,0,0,2,0,0,0,0,0,0
force,0,0,2,0,0,0,0,0,0
forced,0,0,0,0,0,1,0,0,0
ford,0,0,0,1,0,0,0,0,0
fore,3,0,0,4,0,0,1,1,0
forehead,0,1,0,0,0,0,0,0,0
foreign,0,0,0,1,1,0,0,0,0
foreman,0,0,0,0,0,1,0,0,0
foremost,0,0,0,0,0,1,0,0,0
foreseen,0,0,0,0,1,0,0,0,0
forever,0,0,0,3,1,0,0,1,0
forgave,0,0,2,0,0,0,0,0,0
forget,0,1,2,0,1,2,3,1,0
forgetting,0,0,0,1,0,0,0,0,0
forgive,0,0,2,0,1,1,0,0,1
forgiven,0,0,2,0,0,0,0,0,0
forgot,0,2,0,1,2,1,2,0,0
fork,0,0,0,1,0,0,0,0,0
forrest,0,0,0,1,0,0,0,0,0
forsaken,0,1,0,0,0,0,0,0,0
forseen,0,0,0,0,1,0,0,0,0
forty,0,1,0,0,0,0,0,0,0
forward,0,0,0,1,0,2,0,0,0
fossil,0,0,0,0,1,0,0,0,0
foul,0,2,0,0,0,0,0,0,0
founded,0,0,0,1,0,0,0,0,0
fountain,0,0,2,0,0,0,0,1,0
fourfours,0,0,0,1,0,0,0,0,0
fourth,0,0,0,0,0,1,0,0,0
fourtrack,0,0,0,1,0,0,0,0,0
foxx,0,0,0,1,0,1,0,0,0
foxy,0,0,0,1,0,0,0,0,0
fractured,0,0,0,0,0,1,0,0,0
fragrance,0,0,0,0,0,0,1,0,0
francis,0,0,0,0,0,1,0,0,1
frank,0,0,0,0,1,0,1,1,0
franklin,0,1,0,0,0,0,2,0,0
fraternity,0,0,0,1,0,0,0,0,0
fraud,0,0,0,0,1,0,0,0,0
freak,0,0,0,0,0,1,2,0,0
freaking,0,0,0,0,0,1,0,0,0
fred,0,0,2,0,0,0,0,0,0
freddie,0,0,0,0,0,2,0,0,0
freddy,0,0,0,0,1,0,0,0,0
free,0,3,4,3,1,4,4,2,1
free99,0,0,0,0,0,2,0,0,0
freedom,0,0,2,0,2,1,0,0,0
freedoom,0,0,0,0,1,0,0,0,0
freestyle,0,0,0,1,0,0,0,0,0
freeway,0,0,0,2,0,2,0,0,0
french,0,0,0,0,0,0,1,0,0
frenchass,0,0,0,0,0,0,0,1,0
fresh,0,4,0,1,3,2,2,1,0
fresher,0,1,0,0,1,0,0,0,0
freshest,0,0,0,1,1,0,0,0,0
freshman,0,0,0,0,0,2,0,0,0
friday,0,0,0,1,1,0,1,0,0
fridge,0,0,0,0,0,1,1,0,0
friend,3,2,0,7,0,4,5,1,2
frightenin,0,0,0,1,0,0,0,0,1
fritolay,0,0,0,0,0,0,0,0,1
front,1,2,2,1,0,2,0,0,0
frontin,0,1,0,1,0,0,1,0,0
fruit,0,0,2,0,1,0,1,1,0
fry,0,0,0,1,0,0,0,0,0
fuck,0,3,0,3,7,9,8,6,3
fucked,0,1,0,0,2,1,1,0,1
fucker,0,0,0,0,0,0,1,1,0
fuckin,0,1,0,1,6,2,5,2,0
fucking,0,3,0,0,2,2,0,0,0
fulfilling,0,0,0,0,0,1,0,0,0
full,1,1,0,2,0,2,0,0,0
fully,0,0,0,0,0,1,0,0,0
fume,0,1,0,0,0,0,0,0,0
fun,0,0,0,0,0,0,1,0,0
funeral,0,0,0,1,0,0,0,0,0
funny,1,0,0,2,2,2,2,0,0
fur,0,1,0,0,3,0,3,2,0
fused,0,1,0,0,0,0,0,0,0
future,0,1,0,0,1,0,1,1,0
fájt,0,0,0,0,0,0,0,1,0
g4s,0,0,0,0,1,0,0,0,0
gabe,0,0,0,0,0,0,1,0,0
gagging,0,0,0,0,1,0,0,0,0
gain,0,1,0,0,0,0,0,0,0
gamble,0,0,0,0,0,0,0,0,1
game,0,4,0,5,2,5,3,0,1
gametime,0,0,0,0,0,0,1,0,0
gandhi,0,0,0,0,0,0,0,0,1
gang,0,1,0,2,1,0,0,0,0
gangbang,0,0,0,0,1,0,0,0,0
gangsta,0,0,0,0,1,2,0,0,0
gap,0,0,0,0,0,3,0,0,0
garage,0,0,2,0,0,0,0,1,0
garbage,0,0,0,0,0,1,0,0,0
garde,0,0,0,1,0,0,0,0,0
garden,0,0,0,0,0,0,1,0,0
garment,0,0,0,0,0,0,0,1,0
garter,0,1,0,0,0,0,0,0,0
gas,0,2,2,1,0,3,0,1,0
gasp,0,0,0,0,0,1,0,0,0
gaspin,0,0,0,0,0,0,0,1,0
gassed,0,0,0,0,0,1,0,0,0
gassin,0,0,0,0,0,1,0,0,0
gat,0,0,0,0,1,1,0,0,0
gate,0,0,2,0,0,0,0,0,0
gather,0,0,0,0,1,0,0,0,0
gaultier,0,0,0,0,0,1,0,0,0
gay,0,0,0,1,0,0,0,0,0
